meta_id,meta_desc
1300,arbitration
1301,bucksburn
1302,ddarg
1303,football
1304,trains
1305,healthpoints
1306,celiac
1307,theatre
1308,pre-school
1309,preschool
1310,taxation
1311,aneurysms
1312,farming
1313,homing
1314,in-patients
1315,optometrist
1316,verbal
1317,affordable
1318,carcinoma
1319,encephalomyelitis
1320,diabetic
1321,weak
1322,banchory
1323,transporting
1324,ots
1325,renal
1326,retired
1327,me
1328,asl
1329,remitting
1330,aphasic
1331,listening
1332,hiking
1333,periods
1334,herpetiformis
1335,misuse
1336,breast
1337,comments
1338,dyce
1339,seizures
1340,prostate
1341,slef
1342,exercise
1343,group
1344,bbv
1345,oncology
1346,males
1347,anti-social
1348,religions
1349,visual
1350,free
1351,spine
1352,friendship.
1353,park
1354,barnardo's
1355,profoundly
1356,dinners
1357,health
1358,subjects
1359,pre-menstrual
1360,homes
1361,crohn's
1362,concerns
1363,aneurysm
1364,travelling
1365,castles
1366,dial-a-bus
1367,experience
1368,let
1369,second
1370,person's
1371,attractions
1372,christians
1373,break
1374,multi-sensory
1375,anxiety
1376,therapy
1377,cfs
1378,charity
1379,tooth
1380,plans
1381,mothers
1382,dogs
1383,additional
1384,incontinence
1385,d
1386,adult
1387,death
1388,talk
1389,drama
1390,asperger
1391,loneliness
1392,kingswells
1393,aberlour
1394,hand
1395,alcoholic
1396,learning
1397,parental
1398,optician
1399,banff
1400,miscarriage
1401,recovering
1402,hard
1403,scottish
1404,culter
1405,disruptive
1406,families
1407,challenging
1408,relations
1409,amputees
1410,catering
1411,chiropodist
1412,groups
1413,interpreting
1414,self-harm
1415,days
1416,emotionally
1417,activites
1418,jobcentre
1419,binge
1420,cocaine
1421,equity
1422,out
1423,husbands
1424,gay
1425,worker
1426,third
1427,buses
1428,cancer
1429,crafts
1430,the
1431,to
1432,arthritis
1433,socialising
1434,testing
1435,yoga
1436,gluten
1437,podriatrists
1438,religion
1439,mania
1440,anorexia
1441,city
1442,courses
1443,gps
1444,prescriptions
1445,out-patient
1446,outpatient
1447,cfmg
1448,recreational
1449,divorce
1450,bi-polar
1451,bipolar
1452,care
1453,endocrine
1454,teaching
1455,pvs
1456,swimming
1457,counselling
1458,co-op
1459,electricity
1460,food
1461,healthcare
1462,accommodation
1463,guidance
1464,stonehaven
1465,forced
1466,sessions
1467,digestion
1468,helpless
1469,offenders
1470,children
1471,difficulty
1472,cove
1473,hereditary
1474,shetland
1475,worship
1476,meetings
1477,50's
1478,50s
1479,unemployment
1480,criminals
1481,men's
1482,utilities
1483,violence
1484,adaptations
1485,caring
1486,surgeries
1487,toilets
1488,discounted
1489,disorder
1490,emphysema
1491,pensions
1492,vehicles
1493,limbs
1494,holidays
1495,man
1496,damage
1497,navy
1498,voice
1499,domestic
1500,looking
1501,nurse
1502,falls
1503,bound
1504,wedding
1505,accord
1506,abuse
1507,breaks
1508,dentists
1509,hands
1510,urine
1511,cigarettes
1512,ski-ing
1513,councils
1514,people's
1515,peoples
1516,mps
1517,credit
1518,hobbies
1519,insulin
1520,wards
1521,entitlements
1522,contact
1523,inverurie
1524,access
1525,booze
1526,college
1527,nervosa
1528,students
1529,myalgic
1530,refuge
1531,animal
1532,women
1533,palliative
1534,epileptic
1535,speech
1536,trouble
1537,organisations
1538,suicide
1539,fits
1540,of
1541,training
1542,diet
1543,heating
1544,g-docs
1545,employed
1546,partners
1547,ellon
1548,courts
1549,wasting
1550,well-being
1551,wellbeing
1552,under
1553,historical
1554,55's
1555,ex-forces
1556,lavatory
1557,opticians
1558,rehabilitation
1559,cinema
1560,spectrum
1561,65
1562,abi
1563,childcare
1564,bowel
1565,glasses
1566,servicemen
1567,alternative
1568,responsive
1569,autism
1570,raf
1571,intra-venous
1572,intravenous
1573,aubin's
1574,in-patient
